heading;content;id
Victim;A.R.J.;https://juris.ohchr.org/Search/Details/866
Countries;Australia;https://juris.ohchr.org/Search/Details/866
Date of admissibility;28 Jul 1997;https://juris.ohchr.org/Search/Details/866
Submission date;06 Feb 1996;https://juris.ohchr.org/Search/Details/866
Date of adoption of the Views;28 Jul 1997;https://juris.ohchr.org/Search/Details/866
Session No;60;https://juris.ohchr.org/Search/Details/866
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/866
Comment;"Pursuant to rule 85 of the Committee's rules of procedure, Ms. Elizabeth Evatt did not participate in the examination of the case.

Pursuant to rule 86, the State party was requested to refrain from any action that might result in the forced deportation of the author to a country where he was likely to face the imposition of the death penalty.";https://juris.ohchr.org/Search/Details/866
Issues;accused persons / convicted personsadmissibility - ratione materiaeadmissibility - victim statuscriminal chargescriminal offencecruel, inhuman or degrading treatment or punishmentdeath penaltyfair trialinterim measuresne bis in idemrecognition as a person before the lawretroactive application of criminal lawright to life;https://juris.ohchr.org/Search/Details/866
Articles;CCPR-14-1CCPR-14-3CCPR-14-7CCPR-15-1CCPR-16CCPR-2-1CCPR-6-1CCPR-6-2CCPR-7CCPR-OP-1CCPR-OP-2CCPR-OP-3;https://juris.ohchr.org/Search/Details/866
Committee;CCPR;https://juris.ohchr.org/Search/Details/867
Communication number(s);661/1995,;https://juris.ohchr.org/Search/Details/867
Author;Paul Triboulet;https://juris.ohchr.org/Search/Details/867
Display name;Triboulet;https://juris.ohchr.org/Search/Details/867
Victim;Paul Triboulet;https://juris.ohchr.org/Search/Details/867
Countries;France;https://juris.ohchr.org/Search/Details/867
Date of admissibility;29 Jul 1997;https://juris.ohchr.org/Search/Details/867
Submission date;27 May 1995;https://juris.ohchr.org/Search/Details/867
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/867
Session No;60;https://juris.ohchr.org/Search/Details/867
Type of decision;Inadmissibility decision;https://juris.ohchr.org/Search/Details/867
Comment;Pursuant to rule 85 of the Committee’s rules of procedure, Ms. Christine Chanet did not participate in the examination of the case.;https://juris.ohchr.org/Search/Details/867
Issues;accused persons / convicted personsadmissibility - exhaustion of domestic remediesadmissibility - incompatibilityeffective remedyfair trial;https://juris.ohchr.org/Search/Details/867
Articles;CCPR-14-1CCPR-OP-3CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/867
Committee;CCPR;https://juris.ohchr.org/Search/Details/868
Communication number(s);679/1996,;https://juris.ohchr.org/Search/Details/868
Author;Mohamed Refaat Abdoh Darwish;https://juris.ohchr.org/Search/Details/868
Display name;Darwish;https://juris.ohchr.org/Search/Details/868
Victim;Salah Abdoh Darwish Mohamed (author's brother);https://juris.ohchr.org/Search/Details/868
Countries;Austria;https://juris.ohchr.org/Search/Details/868
Date of admissibility;28 Jul 1997;https://juris.ohchr.org/Search/Details/868
Submission date;31 Mar 1995;https://juris.ohchr.org/Search/Details/868
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/868
Session No;60;https://juris.ohchr.org/Search/Details/868
Type of decision;Inadmissibility decision;https://juris.ohchr.org/Search/Details/868
Comment;;https://juris.ohchr.org/Search/Details/868
Issues;accused persons / convicted personsadmissibility - exhaustion of domestic remediesadmissibility - incompatibilityadmissibility - same matter admissibility - victim statusfair trial;https://juris.ohchr.org/Search/Details/868
Articles;CCPR-14-1CCPR-OP-1CCPR-OP-2CCPR-OP-3CCPR-OP-5-2-aCCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/868
Committee;CCPR;https://juris.ohchr.org/Search/Details/869
Communication number(s);654/1995,;https://juris.ohchr.org/Search/Details/869
Author;Kwame Williams Adu;https://juris.ohchr.org/Search/Details/869
Display name;Williams Adu;https://juris.ohchr.org/Search/Details/869
Victim;Kwame Williams Adu;https://juris.ohchr.org/Search/Details/869
Countries;Canada;https://juris.ohchr.org/Search/Details/869
Date of admissibility;18 Jul 1997;https://juris.ohchr.org/Search/Details/869
Submission date;28 Dec 1994;https://juris.ohchr.org/Search/Details/869
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/869
Session No;60;https://juris.ohchr.org/Search/Details/869
Type of decision;Inadmissibility decision;https://juris.ohchr.org/Search/Details/869
Comment;Pursuant to rule 85 of the Committee’s rules of procedure, Mr. Maxwell Yalden did not participate in the adoption of the decision.;https://juris.ohchr.org/Search/Details/869
Issues;accused persons / convicted personsadmissibility - exhaustion of domestic remedieseffective remedyfair trialsuit at law;https://juris.ohchr.org/Search/Details/869
Articles;CCPR-14-1CCPR-OP-2CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/869
Committee;CCPR;https://juris.ohchr.org/Search/Details/870
Communication number(s);643/1995,;https://juris.ohchr.org/Search/Details/870
Author;Peter Drobek;https://juris.ohchr.org/Search/Details/870
Display name;Drobek;https://juris.ohchr.org/Search/Details/870
Victim;Peter Drobek;https://juris.ohchr.org/Search/Details/870
Countries;Slovakia;https://juris.ohchr.org/Search/Details/870
Date of admissibility;14 Jul 1997;https://juris.ohchr.org/Search/Details/870
Submission date;31 May 1994;https://juris.ohchr.org/Search/Details/870
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/870
Session No;60;https://juris.ohchr.org/Search/Details/870
Type of decision;Inadmissibility decision;https://juris.ohchr.org/Search/Details/870
Comment;An individual opinion has been submitted by Committee members Cecilia Medina Quiroga and Eckart Klein.;https://juris.ohchr.org/Search/Details/870
Issues;admissibility - ratione temporisdiscriminationdiscrimination on the ground of other statusunlawful attacks on honour or reputation;https://juris.ohchr.org/Search/Details/870
Articles;CCPR-17-1CCPR-26CCPR-OP-2CCPR-OP-3;https://juris.ohchr.org/Search/Details/870
Committee;CCPR;https://juris.ohchr.org/Search/Details/871
Communication number(s);639/1995,;https://juris.ohchr.org/Search/Details/871
Author;Trevor Walker and Lawson Richards;https://juris.ohchr.org/Search/Details/871
Display name;Walker and Richards;https://juris.ohchr.org/Search/Details/871
Victim;Trevor Walker and Lawson Richards;https://juris.ohchr.org/Search/Details/871
Countries;Jamaica;https://juris.ohchr.org/Search/Details/871
Date of admissibility;28 Jul 1997;https://juris.ohchr.org/Search/Details/871
Submission date;24 Feb 1995;https://juris.ohchr.org/Search/Details/871
Date of adoption of the Views;28 Jul 1997;https://juris.ohchr.org/Search/Details/871
Session No;60;https://juris.ohchr.org/Search/Details/871
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/871
Comment;;https://juris.ohchr.org/Search/Details/871
Issues;abuse of the right of submissionaccused persons / convicted personsadmissibility - exhaustion of domestic remediesadmissibility - ratione materiaecruel, inhuman or degrading treatment or punishmentfair trialfair trial - undue delayhuman dignity;https://juris.ohchr.org/Search/Details/871
Articles;CCPR-10-1CCPR-14-1CCPR-14-3-cCCPR-7CCPR-9-3CCPR-OP-2CCPR-OP-3CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/871
Committee;CCPR;https://juris.ohchr.org/Search/Details/872
Communication number(s);632/1995,;https://juris.ohchr.org/Search/Details/872
Author;Herbert Thomas Potter;https://juris.ohchr.org/Search/Details/872
Display name;Potter;https://juris.ohchr.org/Search/Details/872
Victim;Herbert Thomas Potter;https://juris.ohchr.org/Search/Details/872
Countries;New Zealand;https://juris.ohchr.org/Search/Details/872
Date of admissibility;28 Jul 1997;https://juris.ohchr.org/Search/Details/872
Submission date;06 Apr 1995;https://juris.ohchr.org/Search/Details/872
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/872
Session No;60;https://juris.ohchr.org/Search/Details/872
Type of decision;Inadmissibility decision;https://juris.ohchr.org/Search/Details/872
Comment;;https://juris.ohchr.org/Search/Details/872
Issues;admissibility - exhaustion of domestic remediescruel, inhuman or degrading treatment or punishment;https://juris.ohchr.org/Search/Details/872
Articles;CCPR-OP-1CCPR-OP-2CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/872
Committee;CCPR;https://juris.ohchr.org/Search/Details/873
Communication number(s);612/1995,;https://juris.ohchr.org/Search/Details/873
Author;José Vicente and Amado Villafañe Chaparro, Dioselina Torres Crespo, Hermes Enrique Torres Solis and Vicencio Chaparro Izquierdo;https://juris.ohchr.org/Search/Details/873
Display name;Vicente et al.;https://juris.ohchr.org/Search/Details/873
Victim;"José Vicente and Amado Villafañe Chaparro; Luís Napoleón Torres Crespo, Angel María Torres Arroyo and Antonio Hugues Chaparro Torres (the latter three victims are the deceased fathers of the latter three of the authors)";https://juris.ohchr.org/Search/Details/873
Countries;Colombia;https://juris.ohchr.org/Search/Details/873
Date of admissibility;14 Mar 1996;https://juris.ohchr.org/Search/Details/873
Submission date;14 Jun 1994;https://juris.ohchr.org/Search/Details/873
Date of adoption of the Views;29 Jul 1997;https://juris.ohchr.org/Search/Details/873
Session No;60;https://juris.ohchr.org/Search/Details/873
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/873
Comment;In accordance with rule 85 of the rules of procedure, Mrs. Pilar Gaitan de Pombo did not take part in the adoption of the views.;https://juris.ohchr.org/Search/Details/873
Issues;admissibility - exhaustion of domestic remediesarbitrary arrest - detentioneffective remedyliberty of personminoritiesminorities, right to enjoy own cultureprocedure established by lawright to lifetorture;https://juris.ohchr.org/Search/Details/873
Articles;CCPR-2-3-aCCPR-27CCPR-6-1CCPR-7CCPR-9-1CCPR-OP-2CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/873
Committee;CCPR;https://juris.ohchr.org/Search/Details/874
Communication number(s);604/1994,;https://juris.ohchr.org/Search/Details/874
Author;Joseph Nartey;https://juris.ohchr.org/Search/Details/874
Display name;Nartey;https://juris.ohchr.org/Search/Details/874
Victim;Joseph Nartey;https://juris.ohchr.org/Search/Details/874
Countries;Canada;https://juris.ohchr.org/Search/Details/874
Date of admissibility;18 Jul 1997;https://juris.ohchr.org/Search/Details/874
Submission date;15 Jun 1994;https://juris.ohchr.org/Search/Details/874
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/874
Session No;60;https://juris.ohchr.org/Search/Details/874
Type of decision;Inadmissibility decision;https://juris.ohchr.org/Search/Details/874
Comment;Pursuant to rule 85 of the Committee’s rules of procedure, Mr. Maxwell Yalden did not participate in the adoption of the decision.;https://juris.ohchr.org/Search/Details/874
Issues;admissibility - exhaustion of domestic remedies;https://juris.ohchr.org/Search/Details/874
Articles;CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/874
Committee;CCPR;https://juris.ohchr.org/Search/Details/875
Communication number(s);603/1994,;https://juris.ohchr.org/Search/Details/875
Author;Andres Badu;https://juris.ohchr.org/Search/Details/875
Display name;Badu;https://juris.ohchr.org/Search/Details/875
Victim;Andres Badu;https://juris.ohchr.org/Search/Details/875
Countries;Canada;https://juris.ohchr.org/Search/Details/875
Date of admissibility;18 Jul 1997;https://juris.ohchr.org/Search/Details/875
Submission date;11 Jun 1994;https://juris.ohchr.org/Search/Details/875
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/875
Session No;60;https://juris.ohchr.org/Search/Details/875
Type of decision;Inadmissibility decision;https://juris.ohchr.org/Search/Details/875
Comment;Pursuant to rule 85 of the Committee’s rules of procedure, Mr. Maxwell Yalden did not participate in the adoption of the decision.;https://juris.ohchr.org/Search/Details/875
Issues;admissibility - exhaustion of domestic remedies;https://juris.ohchr.org/Search/Details/875
Articles;CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/875
Committee;CCPR;https://juris.ohchr.org/Search/Details/876
Communication number(s);552/1993,;https://juris.ohchr.org/Search/Details/876
Author;Wieslaw Kall;https://juris.ohchr.org/Search/Details/876
Display name;Kall;https://juris.ohchr.org/Search/Details/876
Victim;Wieslaw Kall;https://juris.ohchr.org/Search/Details/876
Countries;Poland;https://juris.ohchr.org/Search/Details/876
Date of admissibility;05 Jul 1995;https://juris.ohchr.org/Search/Details/876
Submission date;31 Mar 1993;https://juris.ohchr.org/Search/Details/876
Date of adoption of the Views;14 Jul 1997;https://juris.ohchr.org/Search/Details/876
Session No;60;https://juris.ohchr.org/Search/Details/876
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/876
Comment;Individual opinion submitted by Committee members Elizabeth Evatt and Cecilia Medina Quiroga, cosigned by Christine Chanet (dissenting);https://juris.ohchr.org/Search/Details/876
Issues;access to public servicesadmissibility - exhaustion of domestic remediesadmissibility - ratione temporisdiscrimination;https://juris.ohchr.org/Search/Details/876
Articles;CCPR-25-cCCPR-OP-3CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/876
Committee;CCPR;https://juris.ohchr.org/Search/Details/877
Communication number(s);533/1993,;https://juris.ohchr.org/Search/Details/877
Author;Harold Elahie;https://juris.ohchr.org/Search/Details/877
Display name;Elahie;https://juris.ohchr.org/Search/Details/877
Victim;Harold Elahie;https://juris.ohchr.org/Search/Details/877
Countries;Trinidad and Tobago;https://juris.ohchr.org/Search/Details/877
Date of admissibility;12 Oct 1995;https://juris.ohchr.org/Search/Details/877
Submission date;20 Feb 1992;https://juris.ohchr.org/Search/Details/877
Date of adoption of the Views;28 Jul 1997;https://juris.ohchr.org/Search/Details/877
Session No;60;https://juris.ohchr.org/Search/Details/877
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/877
Comment;;https://juris.ohchr.org/Search/Details/877
Issues;accused persons / convicted personscruel, inhuman or degrading treatment or punishmentfair trialfair trial - undue delayhuman dignitypromptly brought before a judge;https://juris.ohchr.org/Search/Details/877
Articles;CCPR-10-1CCPR-14-3-cCCPR-9-3;https://juris.ohchr.org/Search/Details/877
Committee;CCPR;https://juris.ohchr.org/Search/Details/878
Communication number(s);549/1993,;https://juris.ohchr.org/Search/Details/878
Author;Francis Hopu and Tepoaitu Bessert;https://juris.ohchr.org/Search/Details/878
Display name;Hopu and Bessert;https://juris.ohchr.org/Search/Details/878
Victim;Francis Hopu and Tepoaitu Bessert;https://juris.ohchr.org/Search/Details/878
Countries;France;https://juris.ohchr.org/Search/Details/878
Date of admissibility;30 Oct 1995;https://juris.ohchr.org/Search/Details/878
Submission date;04 Jun 1993;https://juris.ohchr.org/Search/Details/878
Date of adoption of the Views;29 Jul 1997;https://juris.ohchr.org/Search/Details/878
Session No;60;https://juris.ohchr.org/Search/Details/878
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/878
Comment;"Pursuant to rule 85 of the Committee's rules of procedure, Ms. Christine Chanet did not participate in the examination of the case.

The texts of two individual opinions signed by nine Committee members are appended to the present document:
A. Individual opinion by Committee members Elizabeth Evatt, Cecilia Medina Quiroga, Fausto Pocar, Martin Scheinin and Maxwell Yalden (partly dissenting)
B. Individual opinion by Committee members David Kretzmer and Thomas Buergenthal, cosigned by Nisuke Ando and Lord Colville (dissenting)";https://juris.ohchr.org/Search/Details/878
Issues;access to courtadmissibility - exhaustion of domestic remediescompetent, independent and impartial tribunaldiscriminationeffective remedyequal protection of the lawequality before the lawfamily rightsminoritiesprivacyreservations;https://juris.ohchr.org/Search/Details/878
Articles;CCPR-14-1CCPR-17-1CCPR-23-1CCPR-26CCPR-27CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/878
Committee;CCPR;https://juris.ohchr.org/Search/Details/879
Communication number(s);529/1993,;https://juris.ohchr.org/Search/Details/879
Author;Hervin Edwards;https://juris.ohchr.org/Search/Details/879
Display name;Edwards;https://juris.ohchr.org/Search/Details/879
Victim;Hervin Edwards;https://juris.ohchr.org/Search/Details/879
Countries;Jamaica;https://juris.ohchr.org/Search/Details/879
Date of admissibility;31 Oct 1995;https://juris.ohchr.org/Search/Details/879
Submission date;19 Jan 1993;https://juris.ohchr.org/Search/Details/879
Date of adoption of the Views;28 Jul 1997;https://juris.ohchr.org/Search/Details/879
Session No;60;https://juris.ohchr.org/Search/Details/879
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/879
Comment;;https://juris.ohchr.org/Search/Details/879
Issues;accused persons / convicted personsadmissibility - exhaustion of domestic remediesadmissibility - incompatibilitycruel, inhuman or degrading treatment or punishmentdefence, adequate time and facilitieseffective remedyfair trialhuman dignitylegal assistance;https://juris.ohchr.org/Search/Details/879
Articles;CCPR-10-1CCPR-14-3-bCCPR-7CCPR-OP-3CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/879
Committee;CCPR;https://juris.ohchr.org/Search/Details/880
Communication number(s);701/1996,;https://juris.ohchr.org/Search/Details/880
Author;Cesario Gómez Vázquez;https://juris.ohchr.org/Search/Details/880
Display name;Gómez Vázquez;https://juris.ohchr.org/Search/Details/880
Victim;Cesario Gómez Vázquez;https://juris.ohchr.org/Search/Details/880
Countries;Spain;https://juris.ohchr.org/Search/Details/880
Date of admissibility;31 Oct 1997;https://juris.ohchr.org/Search/Details/880
Submission date;29 May 1995;https://juris.ohchr.org/Search/Details/880
Date of adoption of the Views;20 Jul 2000;https://juris.ohchr.org/Search/Details/880
Session No;69;https://juris.ohchr.org/Search/Details/880
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/880
Comment;exact date of admissibility not included in the text;https://juris.ohchr.org/Search/Details/880
Issues;admissibility - exhaustion of domestic remediesadmissibility - victim statusdiscriminationdiscrimination on the ground of other statuseffective remedyfair trialindividual communications procedureright to appeal;https://juris.ohchr.org/Search/Details/880
Articles;CCPR-14-5CCPR-26CCPR-OP-1CCPR-OP-2CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/880
Committee;CCPR;https://juris.ohchr.org/Search/Details/881
Communication number(s);760/1996,;https://juris.ohchr.org/Search/Details/881
Author;J.G.A. Diergaardt et al.;https://juris.ohchr.org/Search/Details/881
Display name;Diergaardt et al.;https://juris.ohchr.org/Search/Details/881
Victim;J.G.A. Diergaardt et al.;https://juris.ohchr.org/Search/Details/881
Countries;Namibia;https://juris.ohchr.org/Search/Details/881
Date of admissibility;07 Jul 1998;https://juris.ohchr.org/Search/Details/881
Submission date;17 Nov 1996;https://juris.ohchr.org/Search/Details/881
Date of adoption of the Views;25 Jul 2000;https://juris.ohchr.org/Search/Details/881
Session No;69;https://juris.ohchr.org/Search/Details/881
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/881
Comment;"7 individual opinions were submitted, signed by eleven members:
Abdalfattah Amor (dissenting)
Nisuke Ando (dissenting)
P.N. Bhagwati, Lord Colville, Maxwell Yalden (dissenting)
Elizabeth Evatt, Cecilia Medina Quiroga (concurring)
Elizabeth Evatt, Eckart Klein, David Kretzmer, Cecilia Medina Quiroga (concurring)
Rajsoomer Lallah (dissenting)
Martin Scheinin (concurring)";https://juris.ohchr.org/Search/Details/881
Issues;access to public servicesdiscriminationdiscrimination on the ground of languageequality before the courts and tribunalsfair trialfreedom of expressioninterim measuresminoritiesminorities, right to enjoy own cultureself-determinationtaking part in the conduct of public affairs;https://juris.ohchr.org/Search/Details/881
Articles;CCPR-1CCPR-14-1CCPR-19-2CCPR-25-aCCPR-25-cCCPR-26CCPR-27CCPR-OP-1;https://juris.ohchr.org/Search/Details/881
Committee;CCPR;https://juris.ohchr.org/Search/Details/882
Communication number(s);688/1996,;https://juris.ohchr.org/Search/Details/882
Author;Ms. Carolina Teillier Arredondo;https://juris.ohchr.org/Search/Details/882
Display name;Arredondo;https://juris.ohchr.org/Search/Details/882
Victim;María Sybila Arredondo;https://juris.ohchr.org/Search/Details/882
Countries;Peru;https://juris.ohchr.org/Search/Details/882
Date of admissibility;23 Oct 1998;https://juris.ohchr.org/Search/Details/882
Submission date;17 Nov 1995;https://juris.ohchr.org/Search/Details/882
Date of adoption of the Views;27 Jul 2000;https://juris.ohchr.org/Search/Details/882
Session No;69;https://juris.ohchr.org/Search/Details/882
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/882
Comment;;https://juris.ohchr.org/Search/Details/882
Issues;accused persons / convicted personsadmissibility - exhaustion of domestic remediesadmissibility - victim statusanother procedure of international investigation or settlementarbitrary arrest - detentioncompetent, independent and impartial tribunalcruel, inhuman or degrading treatment or punishmentfair trialfair trial - undue delayhuman dignityliberty of personpre-trial detentionpromptly brought before a judge;https://juris.ohchr.org/Search/Details/882
Articles;CCPR-10-1CCPR-14-1CCPR-14-3-cCCPR-9-1CCPR-9-3CCPR-OP-1CCPR-OP-5-2-aCCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/882
Committee;CCPR;https://juris.ohchr.org/Search/Details/883
Communication number(s);772/1997,;https://juris.ohchr.org/Search/Details/883
Author;Colin Mc Donald and Nicholas Poynder;https://juris.ohchr.org/Search/Details/883
Display name;Y;https://juris.ohchr.org/Search/Details/883
Victim;Y (name deleted);https://juris.ohchr.org/Search/Details/883
Countries;Australia;https://juris.ohchr.org/Search/Details/883
Date of admissibility;17 Jul 2000;https://juris.ohchr.org/Search/Details/883
Submission date;25 Oct 1996;https://juris.ohchr.org/Search/Details/883
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/883
Session No;69;https://juris.ohchr.org/Search/Details/883
Type of decision;Inadmissibility decision;https://juris.ohchr.org/Search/Details/883
Comment;Pursuant to rule 85 of the Committee's rules of procedure, Ms. Elizabeth Evatt did not participate in the examination of the case.;https://juris.ohchr.org/Search/Details/883
Issues;admissibility - victim status;https://juris.ohchr.org/Search/Details/883
Articles;CCPR-OP-1;https://juris.ohchr.org/Search/Details/883
Committee;CCPR;https://juris.ohchr.org/Search/Details/884
Communication number(s);785/1997,;https://juris.ohchr.org/Search/Details/884
Author;Alexandre Wuyts;https://juris.ohchr.org/Search/Details/884
Display name;Wuyts;https://juris.ohchr.org/Search/Details/884
Victim;Alexandre Wuyts;https://juris.ohchr.org/Search/Details/884
Countries;Netherlands;https://juris.ohchr.org/Search/Details/884
Date of admissibility;17 Jul 2000;https://juris.ohchr.org/Search/Details/884
Submission date;24 Jun 1996;https://juris.ohchr.org/Search/Details/884
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/884
Session No;69;https://juris.ohchr.org/Search/Details/884
Type of decision;Inadmissibility decision;https://juris.ohchr.org/Search/Details/884
Comment;;https://juris.ohchr.org/Search/Details/884
Issues;admissibility - exhaustion of domestic remediescruel, inhuman or degrading treatment or punishmenthuman dignity;https://juris.ohchr.org/Search/Details/884
Articles;CCPR-10-1CCPR-OP-2CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/884
Committee;CCPR;https://juris.ohchr.org/Search/Details/885
Communication number(s);690/1996,691/1996,;https://juris.ohchr.org/Search/Details/885
Author;Marc Venier and Paul Nicolas;https://juris.ohchr.org/Search/Details/885
Display name;Venier and Nicolas;https://juris.ohchr.org/Search/Details/885
Victim;Marc Venier and Paul Nicolas;https://juris.ohchr.org/Search/Details/885
Countries;France;https://juris.ohchr.org/Search/Details/885
Date of admissibility;11 Jul 1997;https://juris.ohchr.org/Search/Details/885
Submission date;14 Nov 1995;https://juris.ohchr.org/Search/Details/885
Date of adoption of the Views;10 Jul 2000;https://juris.ohchr.org/Search/Details/885
Session No;69;https://juris.ohchr.org/Search/Details/885
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/885
Comment;"Pursuant to rule 85 of the Committee's rules of procedure, Ms. Christine Chanet did not participate in the examination of the case. 
An individual opinion were submitted by Committee members Nisuke Ando, Eckart Klein, David Kretzmer and Abdallah Zakhia (dissenting)";https://juris.ohchr.org/Search/Details/885
Issues;admissibility - exhaustion of domestic remediesadmissibility - victim statusdiscriminationdiscrimination on the ground of other statuseffective remedyequality before the lawfreedom of conscience;https://juris.ohchr.org/Search/Details/885
Articles;CCPR-26CCPR-OP-1CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/885
Committee;CCPR;https://juris.ohchr.org/Search/Details/886
Communication number(s);689/1996,;https://juris.ohchr.org/Search/Details/886
Author;Richard Maille;https://juris.ohchr.org/Search/Details/886
Display name;Maille;https://juris.ohchr.org/Search/Details/886
Victim;Richard Maille;https://juris.ohchr.org/Search/Details/886
Countries;France;https://juris.ohchr.org/Search/Details/886
Date of admissibility;11 Jul 1997;https://juris.ohchr.org/Search/Details/886
Submission date;17 Nov 1995;https://juris.ohchr.org/Search/Details/886
Date of adoption of the Views;10 Jul 2000;https://juris.ohchr.org/Search/Details/886
Session No;69;https://juris.ohchr.org/Search/Details/886
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/886
Comment;"Pursuant to rule 85 of the Committee's rules of procedure, Ms. Christine Chanet did not participate in the examination of the case. 

An individual opinion was submitted by Nisuke Ando, Eckart Klein, David Kretzmer and Abdallah Zakhia (dissenting)";https://juris.ohchr.org/Search/Details/886
Issues;admissibility - exhaustion of domestic remediesadmissibility - victim statusdiscriminationdiscrimination on the ground of other statuseffective remedyequality before the lawfreedom of conscience;https://juris.ohchr.org/Search/Details/886
Articles;CCPR-26CCPR-OP-1CCPR-OP-5-2-b;https://juris.ohchr.org/Search/Details/886
Committee;CCPR;https://juris.ohchr.org/Search/Details/887
Communication number(s);936/2000,;https://juris.ohchr.org/Search/Details/887
Author;Terry Gillan;https://juris.ohchr.org/Search/Details/887
Display name;Gillan;https://juris.ohchr.org/Search/Details/887
Victim;Terry Gillan;https://juris.ohchr.org/Search/Details/887
Countries;Canada;https://juris.ohchr.org/Search/Details/887
Date of admissibility;17 Jul 2000;https://juris.ohchr.org/Search/Details/887
Submission date;09 Dec 1999;https://juris.ohchr.org/Search/Details/887
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/887
Session No;69;https://juris.ohchr.org/Search/Details/887
Type of decision;Inadmissibility decision;https://juris.ohchr.org/Search/Details/887
Comment;;https://juris.ohchr.org/Search/Details/887
Issues;admissibility - victim statuspresumption of innocence;https://juris.ohchr.org/Search/Details/887
Articles;CCPR-14-2CCPR-OP-1;https://juris.ohchr.org/Search/Details/887
Committee;CCPR;https://juris.ohchr.org/Search/Details/888
Communication number(s);625/1995,;https://juris.ohchr.org/Search/Details/888
Author;Michael Freemantle;https://juris.ohchr.org/Search/Details/888
Display name;Freemantle;https://juris.ohchr.org/Search/Details/888
Victim;Michael Freemantle;https://juris.ohchr.org/Search/Details/888
Countries;Jamaica;https://juris.ohchr.org/Search/Details/888
Date of admissibility;09 Apr 1998;https://juris.ohchr.org/Search/Details/888
Submission date;16 Feb 1995;https://juris.ohchr.org/Search/Details/888
Date of adoption of the Views;24 Mar 2000;https://juris.ohchr.org/Search/Details/888
Session No;68;https://juris.ohchr.org/Search/Details/888
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/888
Comment;"An individual opinion was submitted by Committee member Eckart Klein
Exact date of admissibility decision is not included in the text";https://juris.ohchr.org/Search/Details/888
Issues;accused persons / convicted personscriminal chargescruel, inhuman or degrading treatment or punishmentfair trialhuman dignityliberty of personpre-trial detentionpromptly brought before a judge;https://juris.ohchr.org/Search/Details/888
Articles;CCPR-10-1CCPR-14-1CCPR-7CCPR-9-2CCPR-9-3CCPR-9-4CCPR-OP-2;https://juris.ohchr.org/Search/Details/888
Committee;CCPR;https://juris.ohchr.org/Search/Details/889
Communication number(s);711/1996,;https://juris.ohchr.org/Search/Details/889
Author;Carlos Dias;https://juris.ohchr.org/Search/Details/889
Display name;Dias;https://juris.ohchr.org/Search/Details/889
Victim;Carlos Dias and Carolina de Fatima da Silva Francisco;https://juris.ohchr.org/Search/Details/889
Countries;Angola;https://juris.ohchr.org/Search/Details/889
Date of admissibility;20 Mar 1998;https://juris.ohchr.org/Search/Details/889
Submission date;28 Mar 1996;https://juris.ohchr.org/Search/Details/889
Date of adoption of the Views;20 Mar 2000;https://juris.ohchr.org/Search/Details/889
Session No;68;https://juris.ohchr.org/Search/Details/889
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/889
Comment;;https://juris.ohchr.org/Search/Details/889
Issues;admissibility - ratione temporissecurity of person;https://juris.ohchr.org/Search/Details/889
Articles;CCPR-9-1CCPR-OP-3;https://juris.ohchr.org/Search/Details/889
